Date,AAPL,AMZN,BABA,DB,DIS,E,ENIA,EURCHF=X,EURGBP=X,EURUSD=X,FB,FCAU,GE,GOOG,GS,INTC,MSFT,NFLX,^GSPC,^VIX
1984-12-31,0.5200892686843872,,,,1.2305560111999512,,,,,,,,2.268629789352417,,,0.5833333134651184,,,167.24000549316406,
1985-01-02,0.4977678656578064,,,,1.2356940507888794,,,,,,,,2.2435896396636963,,,0.5729166865348816,,,165.3699951171875,
1985-01-03,0.5066964030265808,,,,1.225417971611023,,,,,,,,2.253605842590332,,,0.5833333134651184,,,164.57000732421875,
1985-01-04,0.5066964030265808,,,,1.2202799320220947,,,,,,,,2.2435896396636963,,,0.59375,,,163.67999267578125,
1985-01-07,0.5044642686843872,,,,1.2356940507888794,,,,,,,,2.268629789352417,,,0.609375,,,164.24000549316406,
1985-01-08,0.5,,,,1.243401050567627,,,,,,,,2.2736377716064453,,,0.5885416865348816,,,163.99000549316406,
1985-01-09,0.5133928656578064,,,,1.2639530897140503,,,,,,,,2.298677921295166,,,0.5989583134651184,,,165.17999267578125,
1985-01-10,0.5357142686843872,,,,1.29478120803833,,,,,,,,2.3537659645080566,,,0.625,,,168.30999755859375,
1985-01-11,0.53125,,,,1.2999192476272583,,,,,,,,2.3237178325653076,,,0.6354166865348816,,,167.91000366210938,
1985-01-14,0.546875,,,,1.3358854055404663,,,,,,,,2.3838140964508057,,,0.6458333134651184,,,170.50999450683594,
1985-01-15,0.5357142686843872,,,,1.315333366394043,,,,,,,,2.373798131942749,,,0.6510416865348816,,,170.80999755859375,
1985-01-16,0.5401785969734192,,,,1.3281784057617188,,,,,,,,2.3637821674346924,,,0.6458333134651184,,,171.19000244140625,
1985-01-17,0.5022321343421936,,,,1.3538684844970703,,,,,,,,2.388822078704834,,,0.6354166865348816,,,170.72999572753906,
1985-01-18,0.5111607313156128,,,,1.3615754842758179,,,,,,,,2.4238781929016113,,,0.6458333134651184,,,171.32000732421875,
1985-01-21,0.5223214030265808,,,,1.4001107215881348,,,,,,,,2.5390625,,,0.6614583134651184,,,175.22999572753906,
1985-01-22,0.5379464030265808,,,,1.4155247211456299,,,,,,,,2.509014368057251,,,0.6666666865348816,,,175.47999572753906,
1985-01-23,0.5290178656578064,,,,1.4591978788375854,,,,,,,,2.5741186141967773,,,0.65625,,,177.3000030517578,
1985-01-24,0.5178571343421936,,,,1.4335078001022339,,,,,,,,2.5390625,,,0.6614583134651184,,,176.7100067138672,
1985-01-25,0.5290178656578064,,,,1.4283697605133057,,,,,,,,2.554086446762085,,,0.6614583134651184,,,177.35000610351562,
1985-01-28,0.5401785969734192,,,,1.4309388399124146,,,,,,,,2.5440704822540283,,,0.640625,,,177.39999389648438,
1985-01-29,0.5334821343421936,,,,1.4566289186477661,,,,,,,,2.599158763885498,,,0.6510416865348816,,,179.17999267578125,
1985-01-30,0.5334821343421936,,,,1.5105781555175781,,,,,,,,2.5590946674346924,,,0.6510416865348816,,,179.38999938964844,
1985-01-31,0.5178571343421936,,,,1.5285612344741821,,,,,,,,2.5590946674346924,,,0.640625,,,179.6300048828125,
1985-02-01,0.5111607313156128,,,,1.5105781555175781,,,,,,,,2.5190303325653076,,,0.625,,,178.6300048828125,
1985-02-04,0.5223214030265808,,,,1.520854115486145,,,,,,,,2.5641026496887207,,,0.6614583134651184,,,180.35000610351562,
1985-02-05,0.5267857313156128,,,,1.5362682342529297,,,,,,,,2.5390625,,,0.6614583134651184,,,180.61000061035156,
1985-02-06,0.5357142686843872,,,,1.5311301946640015,,,,,,,,2.5340545177459717,,,0.640625,,,180.42999267578125,
1985-02-07,0.5334821343421936,,,,1.5491132736206055,,,,,,,,2.5791265964508057,,,0.625,,,181.82000732421875,
1985-02-08,0.5334821343421936,,,,1.559389352798462,,,,,,,,2.569110631942749,,,0.6354166865348816,,,182.19000244140625,
1985-02-11,0.5446428656578064,,,,1.556820273399353,,,,,,,,2.5290465354919434,,,0.6458333134651184,,,180.50999450683594,
1985-02-12,0.53125,,,,1.5491132736206055,,,,,,,,2.5340545177459717,,,0.6458333134651184,,,180.55999755859375,
1985-02-13,0.5066964030265808,,,,1.574803352355957,,,,,,,,2.5941505432128906,,,0.6458333134651184,,,183.35000610351562,
1985-02-14,0.4933035671710968,,,,1.6390286684036255,,,,,,,,2.5440704822540283,,,0.6302083134651184,,,182.41000366210938,
1985-02-15,0.5,,,,1.613338589668274,,,,,,,,2.5290465354919434,,,0.59375,,,181.60000610351562,
1985-02-19,0.4933035671710968,,,,1.610769510269165,,,,,,,,2.5440704822540283,,,0.5833333134651184,,,181.3300018310547,
1985-02-20,0.4709821343421936,,,,1.5902174711227417,,,,,,,,2.5440704822540283,,,0.5989583134651184,,,181.17999267578125,
1985-02-21,0.4799107015132904,,,,1.5696653127670288,,,,,,,,2.5140223503112793,,,0.6041666865348816,,,180.19000244140625,
1985-02-22,0.4933035671710968,,,,1.5722343921661377,,,,,,,,2.4989984035491943,,,0.6041666865348816,,,179.36000061035156,
1985-02-25,0.4866071343421936,,,,1.5722343921661377,,,,,,,,2.4989984035491943,,,0.59375,,,179.22999572753906,
1985-02-26,0.4776785671710968,,,,1.59535551071167,,,,,,,,2.5791265964508057,,,0.59375,,,181.1699981689453,
1985-02-27,0.4486607015132904,,,,1.59535551071167,,,,,,,,2.5590946674346924,,,0.5729166865348816,,,180.7100067138672,
1985-02-28,0.4419642984867096,,,,1.6004934310913086,,,,,,,,2.5490784645080566,,,0.5833333134651184,,,181.17999267578125,
